museums1
,MUZEJ / USTANOVA,NASLOV,LAT,LONG,SPLETNA STRAN,ZBIRKA,POVEZAVA,REGIJA,VRSTE PREDMETOV,OBDOBJE / DATACIJA 
8,Pomurski muzej Murska Sobota,"Trubarjev drevored 4, 9000 Murska Sobota",46.6623324,16.1604356,https://www.pomurski-muzej.si/pages/si/zacetek.php,Umetnostnozgodovinska zbirka,/,"Kitajska, Japonska (?)","pari ve_jih vaz, mogo_e drugi predmeti",18. do zgodnje 20. stoletje (?)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
9,Pokrajinski muzej Maribor,"Grajska ulica 2, 2000 Maribor",46.5608503,15.648517,https://museum-mb.si/,neznano,/,"Kitajska, Japonska","Predmeti japonskega in kitajskega izvora, me_i, tsube",neznano
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
10,Grad Strmol (protokolarni objekt - Javni gospodarski zavod protokolarne storitve Republike Slovenije),"Dvorje 3, 4207 Cerklje na Gorenjskem",46.2648441,14.4790003,https://brdo.si/objekti/posestvo-strmol/,Vzhodnoazijski predmeti med opremo gradu,https://vazcollections.si/gradovi/protokolarni-objekti/grad-strmol/,"Kitajska, Japonska (?)","kitajska miza, manj_e japonske (?) skodelice",pozno 19. ali za_etek 20. stoletja
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
11,Grad Brdo (protokolarni objekt - Javni gospodarski zavod protokolarne storitve Republike Slovenije),"Predoslje 39, 4000 Kranj",46.2727537,14.380711,https://brdo.si/objekti/posestvo-brdo/,Vzhodnoazijski predmeti med opremo gradu,https://vazcollections.si/gradovi/protokolarni-objekti/grad-brdo/,"Kitajska, Japonska","kitajska in japonska keramika, cloisonneĂ©, kovinski budisti_ni kipci, slika, lairane mizice",pozno 19. ali za_etek 20. stoletja (?)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
12,Vila Bled (protokolarni objekt - Javni gospodarski zavod protokolarne storitve Republike Slovenije),"Cesta svobode 18, 4260 Bled",46.3592812,14.0935395,https://brdo.si/objekti/vila-bled-2/,Vzhodnoazijski predmeti med opremo vile,https://vazcollections.si/gradovi/protokolarni-objekti/vila-bled/,Japonska,"japonska vaza,  lairani mizici",pozno 19. ali za_etek 20. stoletja
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
13,Vila Podro_nik (protokolarni objekt - Javni gospodarski zavod protokolarne storitve Republike Slovenije),"Cesta 27. aprila 59, 1000 Ljubljana",46.0525491,14.4834228,/,Vzhodnoazijski predmeti med opremo vile,https://vazcollections.si/gradovi/protokolarni-objekti/vila-podroznik/,"Kitajska (?), Japonska","japonska keramika, rezljana posodica iz lojevca, kovinska vaza",pozno 19. ali za_etek 20. stoletja (?)
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
14,Ple_nikova hi_a (Muzej in galerije mesta Ljubljane),"Karunova 4-6, 1000 Ljubljana",46.0423646,14.5021271,https://mgml.si/sl/plecnikova-hisa/,Vzhodnoazijski predmeti med opremo hi_e,/,Kitajska,vodna pipa,pozno 19. ali za_etek 20. stoletja
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
16,Narodna in univerzitetna knji_nica (NUK),"Turja_ka 1, 1000 Ljubljana",46.0475326,14.5037167,https://www.nuk.uni-lj.si/,Zbirka Alme M. Karlin - Rokopisna zbirka,/,neznano,zapu__ina Alme Karlin,20. stoletje
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
17,Narodna galerija,"Puharjeva ulica 9, 1000 Ljubljana",46.0540237,14.5002606,https://www.ng-slo.si/si/,Zbirka Ivana Frank?ta (1841-1927),/,Kitajska,oljne slike,"19. stoletje, 1873"
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
18,Muzej novej_e zgodovine Celje,"Pre_ernova ulica 17, 3000 Celje",46.2291579,15.2628687,https://www.muzej-nz-ce.si/,Zbirka Alme M. Karlin (1889-1950),/,neznano,preko 800 inventariziranih enot v Fondu Alme Karlin,20. stoletje
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
19,Osrednja knji_nica Celje,"Muzejski trg 1 a, 3000 Celje",46.2278786,15.2613233,https://www.knjiznica-celje.si/,Zbirka Alme M. Karlin (1889-1950) - Zbirka rokopisov,/,neznano,zapu__ina Alme Karlin,20. stoletje
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
20,Zgodovinski arhiv Celje,"Teharska cesta 1, 3000 Celje",46.2292719,15.2695169,https://zac.si/,Zbirka Alme M. Karlin (1889-1950),/,neznano,"dokumenti, razglednice, poizvedbe, zapisniki",20. stoletje
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Zgodovinski arhiv Celje,"Teharska cesta 1, 3000 Celje",46.2292719,15.2695169,https://zac.si/,Zbirka Eleonore (Lole / Lolle) von Haas (1866-1943),/,Kitajska,"portret, razglednice, fotografije, dokumenti",pozno 19. in zgodnje 20. stoletje
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
21,Arhiv Republike Slovenije,"Poljanska cesta 40, 1000 Ljubljana",46.0482634,14.5203177,https://www.gov.si/drzavni-organi/organi-v-sestavi/arhiv/,Zbirka Ferdinanda Avgu_tina Hallersteina (1703-1774),/,Kitajska,"pisma sestri Ani in bratu Vajkardu, kopije dokumentov iz kitajskega arhiva",18. stoletje
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
23,Biblioteka Slovenske akademije znanosti in umetnosti (SAZU),"Novi trg 3-5, 1000 Ljubljana",46.0480651,14.505345,https://www.sazu.si/biblioteka,Zbirka Ivana (Johna) Jagra (1865-1962),/,"Kitajska, Japonska","japonske grafike ukiyo-e, cloisonneĂ©, kitajsko obla_ilo, japonski vzorci blaga, drugi predmeti",druga polovica 19. in za_etek 20. stoletja
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Biblioteka Slovenske akademije znanosti in umetnosti (SAZU),"Novi trg 3-5, 1000 Ljubljana",46.0480651,14.505345,https://www.sazu.si/biblioteka,Zbirka dr. Franca Kosa (1853-1924),/,Japonska (?),/,konec 19. in za_etek 20. stoletja
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
26,Park voja_ke zgodovine Pivka,"Kolodvorska cesta 51, 6257 Pivka",45.6825868,14.1961907,https://www.parkvojaskezgodovine.si/,Zbirka fotografij Antona Ukmarja (1886-1958),/,"Kitajska, Japonska, Koreja (?)",fotografije,konec 19. in za_etek 20. stoletja
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Park voja_ke zgodovine Pivka,"Kolodvorska cesta 51, 6257 Pivka",45.6825868,14.1961907,https://www.parkvojaskezgodovine.si/,Zbirka Mirka Bo_i_a (1919-1978),/,"Kitajska, Japonska, Koreja (?)","fotografije, razglenice, osebni dokumenti, pisma",20. stoletje
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
27,Vila Mayer (Objekt ob_ine _o_tanj),"Kajuhova cesta 10, 3325 _o_tanj",46.3776904,15.0481266,https://www.vila-mayer.si/,Spominska soba dru_ine Mayer (Du_an Mayer),/,Kitajska,lesena rezljana skrinja,20. stoletje
